"","name","cgexp","maj","pres","lyp","gastil","age","trade","prop65","prop1564","federal","oecd","col_uka","col_espa","col_otha","africa","asiae","laam","pro.parl","maj.pres","pro.pres","maj.parl"
"1","Argentina",14.00048,0,1,8.670957,2.333333,0.085,18.42008,9.293244,61.37738,1,0,0,0.268,0,0,0,1,0,0,1,0
"2","Australia",25.78327,1,0,9.648578,1,0.495,38.79273,11.6633,66.80672,1,1,0.608,0,0,0,0,0,0,0,0,1
"3","Austria",40.14563,0,0,9.496507,1,0.275,78.26205,15.10034,67.45173,1,1,0,0,0,0,0,0,1,0,0,0
"4","Bahamas",18.80976,1,0,9.37317,1.722222,0.135,101.8339,4.389884,63.95686,0,0,0.896,0,0,0,0,1,0,0,0,1
"5","Bangladesh",12.56501,1,0,7.385098,3.166667,0.045,25.35251,3.232165,53.81113,0,0,0,0,0.888,0,1,0,0,0,0,1
"6","Barbados",32.36219,1,0,8.867104,1,0.17,116.3507,11.1198,65.1791,0,0,0.868,0,0,0,0,1,0,0,0,1
"7","Belarus",35.52256,1,1,7.358271,4.875,0.045,116.5235,12.00203,66.33025,NA,0,0,0,0.968,0,0,0,0,1,0,0
"8","Belgium",47.93909,0,0,9.527281,1.166667,0.735,132.1419,15.75815,66.41314,0,1,0,0,0.324,0,0,0,1,0,0,0
"9","Belize",30.06591,1,0,8.318635,1.055556,0.095,112.6027,4.69286,53.44993,0,0,0.928,0,0,0,0,1,0,0,0,1
"10","Bolivia",20.98121,0,1,7.492316,2.444444,0.09,48.88424,3.797531,55.53318,0,0,0,0.304,0,0,0,1,0,0,1,0
"11","Botswana",38.57272,1,0,7.816072,1.944444,0.17,87.46591,2.698606,53.22719,0,0,0.868,0,0,1,0,0,0,0,0,1
"12","Brazil",30.66129,0,1,8.339394,3,0.075,17.56221,4.718873,62.83748,1,0,0,0.292,0,0,0,1,0,0,1,0
"13","Bulgaria",42.4402,0,0,8.559698,2.444444,0.05,94.51885,14.21777,67.09557,0,0,0,0,0.636,0,0,0,1,0,0,0
"14","Canada",24.85338,1,0,9.743353,1,0.665,66.52283,11.97717,67.82738,1,1,0.472,0,0,0,0,0,0,0,0,1
"15","Chile",21.02538,1,1,8.611009,2.055556,0.055,59.19077,6.573759,63.91501,0,0,0,0.244,0,0,0,1,0,1,0,0
"16","Colombia",14.06831,0,1,8.185151,3.5,0.215,34.79187,4.475142,60.75258,0,0,0,0.244,0,0,0,1,0,0,1,0
"17","Costa Rica",23.34365,0,1,8.21554,1.333333,0.795,85.90728,4.298967,60.68626,0,0,0,0.288,0,0,0,1,0,0,1,0
"18","Cyprus",33.96568,0,1,9.165834,1,0.2,101.362,10.76539,63.47311,0,0,0.844,0,0,0,0,0,0,0,1,0
"19","Czech Republic",36.34661,0,0,8.183771,1.666667,0.05,107.9953,12.96313,67.67667,0,0,0,0,0.976,0,0,0,1,0,0,0
"20","Denmark",40.14317,0,0,9.610315,1,0.425,66.5644,15.28987,67.29412,0,1,0,0,0,0,0,0,1,0,0,0
"21","Dominican Republic",14.82071,0,1,7.781897,2.888889,0.11,67.85826,3.946855,60.53196,0,0,0,0,0.38,0,0,1,0,0,1,0
"22","Ecuador",16.32197,0,1,7.958086,2.555556,0.105,57.26163,4.40973,58.6732,0,0,0,0.292,0,0,0,1,0,0,1,0
"23","El Salvador",13.63237,0,1,7.610631,3,0.08,54.02488,4.402802,57.25161,0,0,0.288,0,0,0,0,1,0,0,1,0
"24","Estonia",29.99682,0,0,7.841326,2.125,0.045,153.6608,12.60322,66.76977,0,0,0,0,0.968,0,0,0,1,0,0,0
"25","Fiji",28.42384,0,0,8.317231,3.833333,0.05,118.667,3.715512,60.6472,0,0,0.884,0,0,0,1,0,1,0,0,0
"26","Finland",38.32095,0,0,9.478279,1,0.415,60.83865,14.01062,66.96841,0,1,0,0,0.672,0,0,0,1,0,0,0
"27","France",45.25062,1,0,9.559995,1.5,0.27,44.88788,14.94291,65.47331,0,1,0,0,0,0,0,0,0,0,0,1
"28","Gambia",24.41926,1,1,6.638006,4.388889,0.175,121.5774,3.396645,55.22256,0,0,0.864,0,0,1,0,0,0,1,0,0
"29","Germany",32.67864,0,0,9.941882,1.5,0.255,48.7568,15.40074,68.60875,1,1,0,0,0,0,0,0,1,0,0,0
"30","Ghana",18.99634,1,1,6.888171,4.333333,0.04,53.48115,2.983784,52.19075,0,0,0.832,0,0,1,0,0,0,1,0,0
"31","Greece",35.26539,0,0,8.853849,1.833333,0.125,41.74717,15.55545,67.05579,0,1,0,0,0.32,0,0,0,1,0,0,0
"32","Guatemala",9.743064,0,1,7.739889,4,0.075,43.20914,3.305959,51.59549,0,0,0,0.288,0,0,0,1,0,0,1,0
"33","Honduras",21.47791,0,1,7.240766,2.722222,0.09,84.09262,3.13467,52.86485,0,0,0,0.288,0,0,0,1,0,0,1,0
"34","Hungary",49.95391,0,0,8.51439,1.666667,0.05,73.65478,13.899,67.38834,0,0,0,0,0,0,0,0,1,0,0,0
"35","Iceland",31.80872,0,0,9.500911,1,0.28,66.8545,11.27209,64.45214,0,1,0,0,0.78,0,0,0,1,0,0,0
"36","India",15.78957,1,0,7.266477,3.333333,0.25,21.88374,4.590618,59.862,1,0,0.792,0,0,0,1,0,0,0,0,1
"37","Ireland",38.09354,0,0,9.340534,1.111111,0.395,128.917,11.6845,63.48438,0,1,0.688,0,0,0,0,0,1,0,0,0
"38","Israel",46.31829,0,0,9.252321,2,0.26,77.4672,10.20762,60.28881,0,0,0.796,0,0.796,0,0,0,1,0,0,0
"39","Italy",48.8032,0,0,9.46726,1.444444,0.275,44.32747,16.0532,68.74693,0,1,0,0,0,0,0,0,1,0,0,0
"40","Jamaica",NA,1,0,7.794116,2.277778,0.205,122.1772,6.717473,60.08897,0,0,0.852,0,0,0,0,1,0,0,0,1
"41","Japan",20.50902,1,0,9.632704,1.555556,0.66,18.75606,14.00771,69.378,0,1,0,0,0,0,0,0,0,0,0,1
"42","Latvia",31.39015,0,0,7.984952,2.25,0.045,106.1514,12.9966,66.41887,0,0,0,0,0.968,0,0,0,1,0,0,0
"43","Luxembourg",40.17635,0,0,9.841703,1,0.605,188.9888,14.23658,68.04094,0,1,0,0,0.36,0,0,0,1,0,0,0
"44","Malawi",25.76205,1,1,6.273297,4.166667,0.03,62.4826,2.589323,50.61634,0,0,0.86,0,0,1,0,0,0,1,0,0
"45","Malaysia",24.47133,1,0,8.773247,4.555555,0.215,176.0599,3.999706,60.1374,1,0,0.832,0,0,0,1,0,0,0,0,1
"46","Malta",40.98212,0,0,9.011372,1,0.18,190.4717,10.96175,66.62973,0,0,0.86,0,0,0,0,0,1,0,0,0
"47","Mauritius",22.50179,1,0,8.80489,1.611111,0.16,128.1165,6.26111,65.95277,0,0,0.876,0,0,1,0,0,0,0,0,1
"48","Mexico",15.48577,0,1,8.733563,3.777778,0.03,47.54999,4.272914,59.50018,1,0,0,0.244,0,0,0,1,0,0,1,0
"49","Namibia",37.2732,0,1,7.924478,2.444444,0.05,114.6249,3.699706,53.96959,0,0,0,0,0.964,1,0,0,0,0,1,0
"50","Nepal",16.97054,1,0,7.045051,3.333333,0.05,49.82251,3.626628,53.77916,0,0,0,0,0,0,1,0,0,0,0,1
"51","Netherlands",51.17833,0,0,9.533903,1,0.415,100.3399,13.20252,68.47264,0,1,0,0,0,0,0,0,1,0,0,0
"52","New Zealand",35.98045,1,0,9.400021,1,0.47,58.07035,12.12238,64.95579,0,1,0.632,0,0,0,0,0,0,0,0,1
"53","Nicaragua",31.00764,0,1,7.187268,3.444444,0.05,87.20344,3.019467,51.95702,0,0,0,0.288,0,0,0,1,0,0,1,0
"54","Norway",39.8812,0,0,9.724389,1,0.51,72.23154,16.07296,64.72184,0,1,0,0,0.624,0,0,0,1,0,0,0
"55","Pakistan",23.11274,1,1,7.280519,4.277778,0.06,38.71352,3.040669,53.93,0,0,0.792,0,0,0,1,0,0,1,0,0
"56","Papua New Guinea",30.81113,1,0,7.431442,2.777778,0.125,102.1299,2.792986,57.51697,0,0,0.904,0,0.904,0,1,0,0,0,0,1
"57","Paraguay",11.975,0,1,7.69741,3.333333,0.055,86.43324,3.830394,54.81356,0,0,0,0.248,0,0,0,1,0,0,1,0
"58","Peru",17.27761,0,1,7.787484,4.388889,0.105,25.88982,4.255049,59.25119,0,0,0,0.288,0,0,0,1,0,0,1,0
"59","Philippines",18.89076,1,1,7.47275,2.944444,0.065,80.63206,3.556657,57.64063,0,0,0,0.788,0.788,0,1,0,0,1,0,0
"60","Poland",39.48863,0,0,8.373349,1.777778,0.055,48.27744,10.82261,66.04733,0,0,0,0,0.676,0,0,0,1,0,0,0
"61","Portugal",41.66164,0,0,9.000207,1.055556,0.12,68.45359,15.20466,66.1926,0,1,0,0,0,0,0,0,1,0,0,0
"62","Romania",33.38912,0,0,7.441234,3.555556,0.055,55.68492,11.49887,67.28332,0,0,0,0,0.528,0,0,0,1,0,0,0
"63","Russia",26.26176,0,1,7.54451,3.5,0.04,53.87101,11.42976,67.15011,1,0,0,0,0,0,0,0,0,0,1,0
"64","Senegal",NA,0,0,7.017756,4,0.125,65.39255,2.682332,52.03586,0,0,0,0,0,1,0,0,1,0,0,0
"65","Singapore",18.48176,1,0,9.59812,4.666667,0.175,343.3866,6.231132,71.70319,0,0,0.864,0,0.864,0,1,0,0,0,0,1
"66","Slovakia",40.38233,0,0,8.507581,2.5,0.035,119.4016,10.70185,66.07475,0,0,0,0,0.976,0,0,0,1,0,0,0
"67","South Africa",31.33985,0,0,8.044743,2.944444,0.45,43.85324,4.313209,60.27135,0,0,0.644,0,0.644,1,0,0,1,0,0,0
"68","South Korea",17.06728,0,1,9.045815,2.166667,0.06,62.85624,5.559429,70.52384,0,0,0,0,0.796,0,1,0,0,0,1,0
"69","Spain",36.19315,0,0,9.220565,1.333333,0.11,45.26283,15.15123,67.78303,0,1,0,0,0,0,0,0,1,0,0,0
"70","Sri Lanka",27.38108,0,1,7.800447,4.222222,0.26,76.01492,5.82058,63.97582,0,0,0.796,0,0,0,1,0,0,0,1,0
"71","St. Vincent and Grenadines",34.78068,1,0,8.132578,1.444444,0.11,123.441,2.295852,67.92807,0,0,0.92,0,0,0,0,1,0,0,0,1
"72","Sweden",44.75311,0,0,9.575986,1,0.415,68.05694,17.43001,64.03426,0,1,0,0,0,0,0,0,1,0,0,0
"73","Switzerland",26.49568,0,1,9.672725,1,0.76,68.89883,14.67307,68.16419,1,1,0,0,0,0,0,0,0,0,1,0
"74","Taiwan",15.58773,0,0,9.221864,3,0.04,90.7401,NA,NA,0,0,0,0,0.8,0,1,0,1,0,0,0
"75","Thailand",16.22416,1,0,8.389366,3.444444,0.04,84.8658,5.109001,66.00996,0,0,0,0,0,0,1,0,0,0,0,1
"76","Trinidad and Tobago",28.06996,1,0,8.938124,1.277778,0.19,86.71415,6.363929,62.81775,0,0,0.852,0,0,0,0,1,0,0,0,1
"77","Turkey",24.06719,0,0,8.292986,4.055555,0.09,41.00135,5.076429,62.89411,0,0,0,0,0,0,0,0,1,0,0,0
"78","Uganda",14.65232,1,1,6.426972,4.888889,0.03,30.8297,2.366587,49.04804,0,0,0.852,0,0,1,0,0,0,1,0,0
"79","Ukraine",NA,1,0,6.794993,3.4375,0.045,70.71071,13.30226,66.47695,NA,0,0,0,0.968,0,0,0,0,0,0,1
"80","United Kingdom",40.37266,1,0,9.516809,1.5,0.815,54.16156,15.861,64.96465,0,1,0,0,0,0,0,0,0,0,0,1
"81","United States",21.87741,1,1,9.843965,1,1,23.03455,12.57293,65.44537,1,1,0,0,0,0,0,0,0,1,0,0
"82","Uruguay",29.38198,0,1,8.594604,1.666667,0.075,43.42255,12.06819,62.5851,0,0,0,0.316,0,0,0,1,0,0,1,0
"83","Venezuela",19.34534,0,1,8.803967,2.555556,0.21,52.77753,4.073095,59.34188,1,0,0,0.248,0,0,0,1,0,0,1,0
"84","Zambia",25.23639,1,1,6.491007,3.833333,0.045,73.76629,2.336754,50.19071,0,0,0.86,0,0,1,0,0,0,1,0,0
"85","Zimbabwe",31.23202,1,1,7.091729,4.888889,0.055,69.16644,2.804576,53.85599,0,0,0.924,0,0,1,0,0,0,1,0,0
